filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,date-1,month_start,month
2024-03-17_338.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: Rafah invasion to be ‘avoided at all costs’,2024,3,17,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-17,2024-03-01,March
2024-03-27_248.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: Ceasefire hopes ‘drowned out by bombs’,2024,3,27,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-27,2024-03-01,March
2024-03-23_278.txt,2024-03-29_225.txt,1.0000000000000004,Israel’s war on Gaza updates: UN chief says blocked aid a ‘moral outrage’,2024,3,23,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-23,2024-03-01,March
2024-03-16_344.txt,2024-03-29_225.txt,0.9774918563694251,Israel’s war on Gaza updates: ‘Humanitarian catastrophe’ must not escalate,2024,3,16,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-16,2024-03-01,March
2024-03-22_289.txt,2024-03-29_225.txt,0.902275724668934,"Israel’s war on Gaza updates: Russia, China veto US resolution on Gaza",2024,3,22,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-22,2024-03-01,March
2024-03-20_313.txt,2024-03-29_225.txt,0.9312575078880938,Israel’s war on Gaza updates: Israel ‘negative’ on Hamas truce proposal,2024,3,20,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-20,2024-03-01,March
2024-03-12_381.txt,2024-03-29_225.txt,0.963087062849196,Israel’s war on Gaza updates: ‘This war is a war on children’ – UN,2024,3,12,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-12,2024-03-01,March
2024-03-28_237.txt,2024-03-29_225.txt,0.8825089549437722,Israel’s war on Gaza updates: ICJ again orders Israel to ensure aid to Gaza,2024,3,28,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-28,2024-03-01,March
2024-03-25_267.txt,2024-03-29_225.txt,0.8716727690297942,Israel’s war on Gaza updates: UN expert reports on genocidal acts in Gaza,2024,3,25,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-25,2024-03-01,March
2024-03-26_257.txt,2024-03-29_225.txt,0.849253539423493,Israel’s war on Gaza updates: Israel says Hamas chief killed on March 10,2024,3,26,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,2024-03-26,2024-03-01,March
2024-03-29_225.txt,2024-04-05_143.txt,0.9707640365325956,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: ‘Scattered measures’ for Gaza aid not enough,2024,4,5,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-03_165.txt,0.9698088099777916,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: 6 months of war sees children deprived of aid,2024,4,3,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-09_94.txt,0.9626785685730612,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,"Israel’s war on Gaza updates: Israel blocked half of March food convoys, UN",2024,4,9,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-17_18.txt,0.961809800796348,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: World awaits threatened attack on Iran,2024,4,17,2024-03-29,2024-03-01,March
2024-04-15_35.txt,2024-04-17_18.txt,0.8791901913437069,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,Israel’s war on Gaza updates: World awaits threatened attack on Iran,2024,4,17,2024-04-15,2024-04-01,April
2024-03-29_225.txt,2024-03-30_616.txt,0.9608622547350568,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Ceasefire talks to resume in Egypt,2024,3,30,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-06_126.txt,0.9608622547350568,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Hamas sending team to Egypt ceasefire talks,2024,4,6,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-08_107.txt,0.9603545727072672,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Netanyahu says date set for Rafah offensive,2024,4,8,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-03-31_207.txt,0.9517273217639388,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Israeli army says Hezbollah commander killed,2024,3,31,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-07_120.txt,0.945156796262997,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Israel says troops moved for new operations,2024,4,7,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-02_184.txt,0.940913397046913,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Aid workers killed amid ‘man-made famine’,2024,4,2,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-01_196.txt,0.9405350646719532,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: New Israeli law paves way for Al Jazeera ban,2024,4,1,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-04_157.txt,0.9282013915659214,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Biden threatens policy change on Gaza,2024,4,4,2024-03-29,2024-03-01,March
2024-03-29_225.txt,2024-04-16_25.txt,0.9245351422930148,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: Israeli attack on Gaza police vehicle kills 9,2024,4,16,2024-03-29,2024-03-01,March
2024-04-15_35.txt,2024-04-16_25.txt,0.8451174317246192,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,Israel’s war on Gaza updates: Israeli attack on Gaza police vehicle kills 9,2024,4,16,2024-04-15,2024-04-01,April
2024-03-17_338.txt,2024-04-15_35.txt,0.914099846576491,Israel’s war on Gaza updates: Rafah invasion to be ‘avoided at all costs’,2024,3,17,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-17,2024-03-01,March
2024-03-27_248.txt,2024-04-15_35.txt,0.914099846576491,Israel’s war on Gaza updates: Ceasefire hopes ‘drowned out by bombs’,2024,3,27,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-27,2024-03-01,March
2024-03-23_278.txt,2024-04-15_35.txt,0.914099846576491,Israel’s war on Gaza updates: UN chief says blocked aid a ‘moral outrage’,2024,3,23,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-23,2024-03-01,March
2024-03-30_616.txt,2024-04-15_35.txt,0.8783240396344566,Israel’s war on Gaza updates: Ceasefire talks to resume in Egypt,2024,3,30,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-30,2024-03-01,March
2024-04-07_120.txt,2024-04-15_35.txt,0.8639676824547331,Israel’s war on Gaza updates: Israel says troops moved for new operations,2024,4,7,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-07,2024-04-01,April
2024-03-16_344.txt,2024-04-15_35.txt,0.8935251559370609,Israel’s war on Gaza updates: ‘Humanitarian catastrophe’ must not escalate,2024,3,16,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-16,2024-03-01,March
2024-03-29_225.txt,2024-04-15_35.txt,0.914099846576491,Israel’s war on Gaza updates: Deadly strike on centre housing displaced,2024,3,29,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-29,2024-03-01,March
2024-03-20_313.txt,2024-04-15_35.txt,0.8512623450837118,Israel’s war on Gaza updates: Israel ‘negative’ on Hamas truce proposal,2024,3,20,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-20,2024-03-01,March
2024-03-12_381.txt,2024-04-15_35.txt,0.8803577363902534,Israel’s war on Gaza updates: ‘This war is a war on children’ – UN,2024,3,12,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-12,2024-03-01,March
2024-04-03_165.txt,2024-04-15_35.txt,0.8865020844092288,Israel’s war on Gaza updates: 6 months of war sees children deprived of aid,2024,4,3,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-03,2024-04-01,April
2024-04-05_143.txt,2024-04-15_35.txt,0.8873752568564206,Israel’s war on Gaza updates: ‘Scattered measures’ for Gaza aid not enough,2024,4,5,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-05,2024-04-01,April
2024-04-09_94.txt,2024-04-15_35.txt,0.8799843318351113,"Israel’s war on Gaza updates: Israel blocked half of March food convoys, UN",2024,4,9,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-09,2024-04-01,April
2024-04-06_126.txt,2024-04-15_35.txt,0.8783240396344566,Israel’s war on Gaza updates: Hamas sending team to Egypt ceasefire talks,2024,4,6,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-06,2024-04-01,April
2024-04-08_107.txt,2024-04-15_35.txt,0.8778599675707441,Israel’s war on Gaza updates: Netanyahu says date set for Rafah offensive,2024,4,8,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-08,2024-04-01,April
2024-03-31_207.txt,2024-04-15_35.txt,0.8699737988070712,Israel’s war on Gaza updates: Israeli army says Hezbollah commander killed,2024,3,31,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-03-31,2024-03-01,March
2024-04-02_184.txt,2024-04-15_35.txt,0.8600887918823479,Israel’s war on Gaza updates: Aid workers killed amid ‘man-made famine’,2024,4,2,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-02,2024-04-01,April
2024-04-01_196.txt,2024-04-15_35.txt,0.8597429583164424,Israel’s war on Gaza updates: New Israeli law paves way for Al Jazeera ban,2024,4,1,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-01,2024-04-01,April
2024-04-04_157.txt,2024-04-15_35.txt,0.848468749622494,Israel’s war on Gaza updates: Biden threatens policy change on Gaza,2024,4,4,Israel’s war on Gaza updates: New mass grave found at al-Shifa Hospital,2024,4,15,2024-04-04,2024-04-01,April
2024-04-12_65.txt,2024-04-13_54.txt,0.8995105703394513,Israel’s war on Gaza updates: One dead as settlers rampage in West Bank,2024,4,12,"Israel’s war on Gaza updates: Iran sends drones, missiles towards Israel",2024,4,13,2024-04-12,2024-04-01,April
2024-04-11_73.txt,2024-04-13_54.txt,0.8317131077136156,"Israel’s war on Gaza updates: Famine already in north Gaza, says US",2024,4,11,"Israel’s war on Gaza updates: Iran sends drones, missiles towards Israel",2024,4,13,2024-04-11,2024-04-01,April
2023-11-09_2473.txt,2023-11-12_2393.txt,0.8545435930565407,Israel-Hamas war updates: Israeli attacks hit children’s hospital in Gaza,2023,11,9,Israel-Hamas war updates: Snipers targeting those sheltering in al-Shifa,2023,11,12,2023-11-09,2023-11-01,November
2023-10-30_2741.txt,2023-11-09_2473.txt,0.8695240867200746,Israel-Hamas war updates: Netanyahu rejects ceasefire after captive video,2023,10,30,Israel-Hamas war updates: Israeli attacks hit children’s hospital in Gaza,2023,11,9,2023-10-30,2023-10-01,October
2023-10-23_2894.txt,2023-11-09_2473.txt,0.9042153040338718,"Israel-Hamas war updates: WHO urges fuel, healthcare deliveries to Gaza",2023,10,23,Israel-Hamas war updates: Israeli attacks hit children’s hospital in Gaza,2023,11,9,2023-10-23,2023-10-01,October
2023-11-16_2304.txt,2023-11-27_2075.txt,0.9348000885356288,Israel-Hamas war updates: Gaza hospitals buckle under Israeli attacks,2023,11,16,"Israel-Hamas war updates: 33 Palestinians, 11 Israelis released",2023,11,27,2023-11-16,2023-11-01,November
2023-10-10_3233.txt,2023-11-03_2625.txt,0.8316290002935364,Israel-Hamas war updates: Hamas claims release of woman and children,2023,10,10,Israel-Hamas war updates: Israeli strike hits Gaza medical convoy,2023,11,3,2023-10-10,2023-10-01,October
2024-04-13_54.txt,2024-04-14_45.txt,0.8323746037487306,"Israel’s war on Gaza updates: Iran sends drones, missiles towards Israel",2024,4,13,Israel’s war on Gaza updates: UN chief says Middle East ‘on the brink’,2024,4,14,2024-04-13,2024-04-01,April
2023-11-09_2457.txt,2024-01-04_1503.txt,0.8535463601567801,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4,2023-11-09,2023-11-01,November
2024-01-29_1232.txt,2024-02-19_1023.txt,0.8619275389475195,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,The Take: The story of Hind Rajab,2024,2,19,2024-01-29,2024-01-01,January
2023-11-09_2457.txt,2024-02-19_1023.txt,0.8327516501454651,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: The story of Hind Rajab,2024,2,19,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-12-14_1759.txt,0.8346887177050129,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: Can the UN do anything to stop Israel’s war on Gaza?,2023,12,14,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-12-06_1897.txt,0.8688419148989742,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: The role of Israeli AI in Gaza’s massive death toll,2023,12,6,2023-11-09,2023-11-01,November
2024-01-29_1232.txt,2024-02-28_914.txt,0.8360777948230389,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,The Take: ‘An extreme act’ – Why Aaron Bushnell self-immolated for Gaza,2024,2,28,2024-01-29,2024-01-01,January
2023-11-09_2457.txt,2024-02-28_914.txt,0.8671602187638404,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: ‘An extreme act’ – Why Aaron Bushnell self-immolated for Gaza,2024,2,28,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2024-01-11_1440.txt,0.8581432693842062,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: The last keffiyeh factory in Palestine,2024,1,11,2023-11-09,2023-11-01,November
2024-01-29_1232.txt,2024-04-03_160.txt,0.8358452599509724,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,The Take: Will Israel’s protests change Netanyahu’s calculus?,2024,4,3,2024-01-29,2024-01-01,January
2024-02-08_1150.txt,2024-04-03_160.txt,0.8329170117595828,"The Take: As Israel strikes Gaza’s Rafah, what can US diplomacy achieve?",2024,2,8,The Take: Will Israel’s protests change Netanyahu’s calculus?,2024,4,3,2024-02-08,2024-02-01,February
2024-01-29_1232.txt,2024-03-11_387.txt,0.8792345513863471,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,The Take: Observing Ramadan against the backdrop of war,2024,3,11,2024-01-29,2024-01-01,January
2023-11-09_2457.txt,2024-03-11_387.txt,0.8445964669570112,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: Observing Ramadan against the backdrop of war,2024,3,11,2023-11-09,2023-11-01,November
2023-12-05_1916.txt,2024-03-20_306.txt,0.8600128402878674,The Take: Israel’s war on Gaza looms over COP28 Dubai,2023,12,5,The Take: Why has Israel launched an attack on al-Shifa Hospital again?,2024,3,20,2023-12-05,2023-12-01,December
2024-01-04_1503.txt,2024-03-20_306.txt,0.8513394550661114,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4,The Take: Why has Israel launched an attack on al-Shifa Hospital again?,2024,3,20,2024-01-04,2024-01-01,January
2024-02-19_1023.txt,2024-03-20_306.txt,0.8453496912724244,The Take: The story of Hind Rajab,2024,2,19,The Take: Why has Israel launched an attack on al-Shifa Hospital again?,2024,3,20,2024-02-19,2024-02-01,February
2023-12-05_1916.txt,2024-01-29_1232.txt,0.8500289214031248,The Take: Israel’s war on Gaza looms over COP28 Dubai,2023,12,5,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-12-05,2023-12-01,December
2024-01-04_1503.txt,2024-01-29_1232.txt,0.832454267447348,"The Take: Israel, Palestine, BDS, and the right to boycott in the US",2024,1,4,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2024-01-04,2024-01-01,January
2024-01-15_1388.txt,2024-01-29_1232.txt,0.8613100108777485,The Take: The discontent brewing in the Biden administration over Gaza,2024,1,15,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2024-01-15,2024-01-01,January
2023-11-10_2430.txt,2024-01-29_1232.txt,0.8464843011263582,The Take: Arrests and harassment threaten Palestinians in Israel,2023,11,10,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-11-10,2023-11-01,November
2023-11-21_2186.txt,2024-01-29_1232.txt,0.8369960726244423,The Take: The genocide lawsuit against Joe Biden over Israel-Gaza war,2023,11,21,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-11-21,2023-11-01,November
2023-12-06_1897.txt,2024-01-29_1232.txt,0.8455653134387928,The Take: The role of Israeli AI in Gaza’s massive death toll,2023,12,6,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-12-06,2023-12-01,December
2024-01-22_1311.txt,2024-01-29_1232.txt,0.8501177546092,The Take: What will remain of journalism in Gaza?,2024,1,22,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2024-01-22,2024-01-01,January
2023-11-14_2340.txt,2024-01-29_1232.txt,0.8274212232265888,The Take: What can protests do to block military aid from the US to Israel?,2023,11,14,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-11-14,2023-11-01,November
2024-01-11_1440.txt,2024-01-29_1232.txt,0.8726231163441319,The Take: The last keffiyeh factory in Palestine,2024,1,11,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2024-01-11,2024-01-01,January
2023-12-14_1759.txt,2024-01-29_1232.txt,0.8301216696417251,The Take: Can the UN do anything to stop Israel’s war on Gaza?,2023,12,14,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-12-14,2023-12-01,December
2023-10-20_2967.txt,2024-01-29_1232.txt,0.8392850588291385,The Take: The backlash to supporting Palestine,2023,10,20,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-10-20,2023-10-01,October
2024-01-02_1529.txt,2024-01-29_1232.txt,0.8495872455412751,The Take: Are Hezbollah and Israel close to an all-out war?,2024,1,2,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2024-01-02,2024-01-01,January
2023-11-29_2025.txt,2024-01-29_1232.txt,0.8283988466119694,"The Take: With Israel’s release of prisoners, thousands more still detained",2023,11,29,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-11-29,2023-11-01,November
2023-10-31_2707.txt,2024-01-29_1232.txt,0.8363773791640065,The Take: Are the captives a priority in Israel’s war on Gaza?,2023,10,31,"The Take: As US and UK air strikes land, Yemenis wonder what’s next",2024,1,29,2023-10-31,2023-10-01,October
2023-11-10_2430.txt,2024-02-08_1150.txt,0.8399299350626752,The Take: Arrests and harassment threaten Palestinians in Israel,2023,11,10,"The Take: As Israel strikes Gaza’s Rafah, what can US diplomacy achieve?",2024,2,8,2023-11-10,2023-11-01,November
2024-01-11_1440.txt,2024-02-08_1150.txt,0.8297071819606946,The Take: The last keffiyeh factory in Palestine,2024,1,11,"The Take: As Israel strikes Gaza’s Rafah, what can US diplomacy achieve?",2024,2,8,2024-01-11,2024-01-01,January
2023-11-09_2457.txt,2023-12-05_1916.txt,0.8616977628979531,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: Israel’s war on Gaza looms over COP28 Dubai,2023,12,5,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-11-21_2186.txt,0.8600367812445544,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: The genocide lawsuit against Joe Biden over Israel-Gaza war,2023,11,21,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-11-28_2045.txt,0.8269628302985801,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,"The Take: After Israel and Hamas extend their truce, what comes next?",2023,11,28,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-11-29_2025.txt,0.8512028920194645,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,"The Take: With Israel’s release of prisoners, thousands more still detained",2023,11,29,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-11-14_2340.txt,0.848200162592887,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: What can protests do to block military aid from the US to Israel?,2023,11,14,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-12-04_1933.txt,0.851720907066515,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: US shooting of Palestinian students sparks climate of fear,2023,12,4,2023-11-09,2023-11-01,November
2023-11-09_2457.txt,2023-11-10_2430.txt,0.8547627933829577,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,The Take: Arrests and harassment threaten Palestinians in Israel,2023,11,10,2023-11-09,2023-11-01,November
2023-10-20_2967.txt,2023-11-09_2457.txt,0.8293992472758274,The Take: The backlash to supporting Palestine,2023,10,20,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,2023-10-20,2023-10-01,October
2023-10-26_2832.txt,2023-11-09_2457.txt,0.8549405124508705,The Take: Ukraine and Gaza wars – is there a double standard at play?,2023,10,26,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,2023-10-26,2023-10-01,October
2023-10-24_2880.txt,2023-11-09_2457.txt,0.8531333399918936,The Take: A new era of solidarity for the Palestinian cause,2023,10,24,The Take: Gaza hospitals on the brink of collapse amid Israel’s bombardment,2023,11,9,2023-10-24,2023-10-01,October
